"","platform","representation.target_distortion","representation.extra_dimensions","representation","rel_distance","rel_runtime"
"1","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,1.10907637258303
"2","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73282685368132,1.00016365066631
"3","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.84586047204322
"4","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72921141263205,1.42330753254044
"5","exynos",1.001,FALSE,"MetricSpaceEmbedding",2.66799702791821,1.33757991535972
"6","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15662003525825,1.24984853551189
"7","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72237917849441,1.06635503088504
"8","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.04320760257922
"9","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23846647802396,1.02925484560822
"10","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23846647802396,1.87967844668989
"11","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.91610839586231,1.33494309764446
"12","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.22286494832668,1.94029756854236
"13","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.24247256266625,1.94671833847692
"14","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72921141263205,1.15104204841047
"15","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55223087493254,1.77613508598021
"16","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.84128079821201
"17","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55497022602201,1.00158358223865
"18","exynos",1.001,FALSE,"MetricSpaceEmbedding",1.91674403322465,1.94028781778215
"19","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.16968247108242
"20","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324224,1.06764420892354
"21","exynos",1.001,FALSE,"MetricSpaceEmbedding",1.90288358526857,1.49863053366053
"22","exynos",1.001,FALSE,"MetricSpaceEmbedding",2.63921865447545,1.85760016910006
"23","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23445543158758,1.96476223604547
"24","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72921141263205,1.957942781128
"25","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55781931962046,1.06236611213352
"26","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.02603390846783
"27","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15649789467162,1.93377250028989
"28","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15961992720106,1.00088911063689
"29","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.1688502180749,1.32767966456271
"30","exynos",1.001,FALSE,"MetricSpaceEmbedding",2.66350815445029,2.677569595549
"31","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.2423159856101,1.27754560154047
"32","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.78521245087001
"33","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.22673306866413,1.91034029028486
"34","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72921141263205,1.10018559624691
"35","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,1.25736014726281
"36","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.2383097072677,1.28422706111086
"37","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15662003525825,2.00430363394609
"38","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23075370258538,1.16359794073845
"39","exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73269084581937,1.10458457915339
"40","exynos",1.001,FALSE,"MetricSpaceEmbedding",4.9109276871332,1.03928733331748
